epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2624.12,0.69596,0.32577,0.77601,0.9264,0.75471,0.81489,0.5846,0.71748,0.36367,0.78291,0.000247625,0.000247625,0.000247625
83,2654.96,0.71343,0.33025,0.77795,0.93816,0.74359,0.81987,0.59002,0.71146,0.36048,0.78325,0.00023525,0.00023525,0.00023525
84,2685.88,0.69198,0.321,0.77793,0.94625,0.737,0.81781,0.59439,0.72481,0.36705,0.78401,0.000222875,0.000222875,0.000222875
85,2717,0.68391,0.31882,0.77676,0.96907,0.74138,0.83808,0.58957,0.71702,0.35282,0.78292,0.0002105,0.0002105,0.0002105
86,2752.36,0.67703,0.31382,0.77644,0.95637,0.73311,0.83496,0.59328,0.71179,0.35688,0.78297,0.000198125,0.000198125,0.000198125
87,2783.33,0.6676,0.31276,0.77809,0.93973,0.74504,0.83331,0.59172,0.72053,0.35935,0.78337,0.00018575,0.00018575,0.00018575
88,2814.65,0.6708,0.31243,0.77653,0.96031,0.75312,0.82892,0.58661,0.70678,0.35639,0.78224,0.000173375,0.000173375,0.000173375
89,2845.63,0.66024,0.30861,0.77528,0.94546,0.75823,0.83333,0.59623,0.7256,0.35319,0.78287,0.000161,0.000161,0.000161
90,2880.49,0.66157,0.31076,0.77562,0.97949,0.74577,0.83873,0.58932,0.70845,0.34868,0.78265,0.000148625,0.000148625,0.000148625
91,2912.66,0.6275,0.30316,0.7735,0.95846,0.75609,0.84057,0.60083,0.71626,0.35071,0.78228,0.00013625,0.00013625,0.00013625
92,2944.77,0.61644,0.30345,0.77562,0.91937,0.73335,0.82024,0.58372,0.71495,0.35594,0.78241,0.000123875,0.000123875,0.000123875
93,2974.91,0.62325,0.29983,0.77562,0.95415,0.73549,0.81643,0.57726,0.72673,0.36747,0.78269,0.0001115,0.0001115,0.0001115
94,3004.93,0.60986,0.2979,0.77449,0.95507,0.73665,0.82802,0.59079,0.72809,0.36434,0.7831,9.9125e-05,9.9125e-05,9.9125e-05
95,3035.38,0.61597,0.2977,0.77493,0.95522,0.72911,0.81878,0.58405,0.72392,0.36202,0.78293,8.675e-05,8.675e-05,8.675e-05
96,3065.51,0.60272,0.29316,0.77555,0.96181,0.72645,0.8323,0.59429,0.72154,0.36979,0.78234,7.4375e-05,7.4375e-05,7.4375e-05
97,3100.19,0.60442,0.29114,0.77461,0.95859,0.74147,0.83006,0.59583,0.71586,0.3619,0.78252,6.2e-05,6.2e-05,6.2e-05
98,3132.45,0.58899,0.28652,0.77215,0.95287,0.73844,0.81936,0.58998,0.71819,0.35876,0.78221,4.9625e-05,4.9625e-05,4.9625e-05
99,3163.17,0.58388,0.28287,0.77568,0.95635,0.73342,0.8294,0.59945,0.70696,0.36015,0.78216,3.725e-05,3.725e-05,3.725e-05
100,3193.56,0.57847,0.28047,0.77319,0.96595,0.73054,0.8329,0.60108,0.70601,0.35629,0.78188,2.4875e-05,2.4875e-05,2.4875e-05
